frame_index,frame_id,x_min,y_min,x_max,y_max,confidence,class_id,class_name,detection_type
16,frame_0016.jpg,299.5724792480469,508.59466552734375,327.7683410644531,535.3882446289062,0.4688706398010254,,sports ball,detected
17,frame_000017.jpg,367.23529052734375,481.9425354003906,393.56744384765625,507.0619201660156,0.3,,sports ball,predicted
18,frame_000018.jpg,434.8981018066406,455.2904052734375,459.3665466308594,478.735595703125,0.3,,sports ball,predicted
19,frame_0019.jpg,502.5609130859375,428.6382751464844,525.1656494140625,450.4092712402344,0.4673498868942261,,sports ball,detected
20,frame_0020.jpg,507.4417724609375,460.1396179199219,530.0538330078125,482.2477722167969,0.28320783376693726,,sports ball,detected
21,frame_0021.jpg,511.161376953125,489.23175048828125,535.8526611328125,513.0355834960938,0.42862674593925476,,sports ball,detected
22,frame_0022.jpg,313.3730163574219,688.9743041992188,348.6224670410156,723.0794067382812,0.6318856477737427,,sports ball,detected
23,frame_0023.jpg,522.2225952148438,543.78564453125,548.7134399414062,577.315673828125,0.41021493077278137,,sports ball,detected
24,frame_0024.jpg,314.25384521484375,753.3302612304688,347.54742431640625,789.6637573242188,0.49671033024787903,,sports ball,detected
25,frame_000025.jpg,392.75882975260413,715.7256266276041,427.38187662760413,750.0869547526041,0.3,,sports ball,predicted
26,frame_000026.jpg,471.26381429036456,678.1209920247396,507.21632893880206,710.5101521809896,0.3,,sports ball,predicted
27,frame_0027.jpg,549.768798828125,640.516357421875,587.05078125,670.933349609375,0.33339813351631165,,sports ball,detected
28,frame_000028.jpg,554.0821533203125,655.0527648925781,590.043212890625,684.2504577636719,0.3,,sports ball,predicted
29,frame_0029.jpg,558.3955078125,669.5891723632812,593.03564453125,697.5675659179688,0.25157085061073303,,sports ball,detected
30,frame_000030.jpg,507.3926513671875,613.3292907714844,543.957470703125,639.6769348144531,0.3,,sports ball,predicted
31,frame_000031.jpg,456.389794921875,557.0694091796875,494.879296875,581.7863037109375,0.3,,sports ball,predicted
32,frame_000032.jpg,405.3869384765625,500.80952758789067,445.801123046875,523.8956726074218,0.3,,sports ball,predicted
33,frame_000033.jpg,354.38408203125,444.5496459960938,396.72294921875,466.0050415039062,0.3,,sports ball,predicted
34,frame_0034.jpg,303.3812255859375,388.2897644042969,347.644775390625,408.1144104003906,0.48662787675857544,,sports ball,detected
51,frame_0051.jpg,225.41177368164062,1060.546875,267.5404968261719,1112.81201171875,0.2609931230545044,,sports ball,detected
78,frame_0078.jpg,332.5216064453125,418.2457275390625,348.8673095703125,431.13470458984375,0.3548851013183594,,sports ball,detected
79,frame_0079.jpg,342.3363037109375,413.65692138671875,362.904541015625,428.85308837890625,0.3677446246147156,,sports ball,detected
110,frame_0110.jpg,269.83880615234375,298.45220947265625,386.08880615234375,417.53338623046875,0.293573260307312,,sports ball,detected
117,frame_0117.jpg,257.27618408203125,0.063018798828125,379.3267822265625,137.0357666015625,0.3331621587276459,,sports ball,detected
118,frame_0118.jpg,243.50543212890625,65.27236938476562,361.06317138671875,216.95950317382812,0.345032662153244,,sports ball,detected
119,frame_0119.jpg,227.76043701171875,173.70867919921875,350.7802734375,324.19696044921875,0.8763697743415833,,sports ball,detected
120,frame_0120.jpg,215.53208923339844,280.529296875,331.4849853515625,423.2647705078125,0.8157354593276978,,sports ball,detected
121,frame_0121.jpg,199.5347442626953,382.61529541015625,318.23529052734375,516.8095703125,0.2972174286842346,,sports ball,detected
122,frame_0122.jpg,179.981201171875,490.0768737792969,301.5489501953125,646.75146484375,0.378902405500412,,sports ball,detected
123,frame_0123.jpg,165.54080200195312,589.75244140625,288.3551940917969,752.64892578125,0.4676666557788849,,sports ball,detected
124,frame_0124.jpg,153.43075561523438,688.0158081054688,273.51055908203125,845.3217163085938,0.43527284264564514,,sports ball,detected
195,frame_0195.jpg,42.11717224121094,920.8754272460938,107.31187438964844,989.7489624023438,0.3119749128818512,,sports ball,detected
196,frame_0196.jpg,39.18572998046875,901.4476318359375,101.95158386230469,966.4022216796875,0.7253664135932922,,sports ball,detected
197,frame_0197.jpg,37.91993713378906,880.8617553710938,95.06765747070312,944.8590698242188,0.26718297600746155,,sports ball,detected
198,frame_0198.jpg,34.769073486328125,858.9124145507812,94.39651489257812,921.3544311523438,0.5405404567718506,,sports ball,detected
199,frame_0199.jpg,27.52063751220703,839.062744140625,89.69355010986328,903.214111328125,0.7488210201263428,,sports ball,detected
200,frame_0200.jpg,25.497379302978516,822.751953125,87.05108642578125,884.429931640625,0.6452476382255554,,sports ball,detected
201,frame_0201.jpg,20.832324981689453,804.0930786132812,83.22050476074219,863.8362426757812,0.6862760782241821,,sports ball,detected
202,frame_0202.jpg,18.183074951171875,789.5785522460938,76.69720458984375,845.5018920898438,0.726144552230835,,sports ball,detected
203,frame_0203.jpg,12.86288070678711,773.3946533203125,71.878173828125,827.9754638671875,0.48368215560913086,,sports ball,detected
204,frame_0204.jpg,7.3078765869140625,756.11865234375,67.50065612792969,811.91845703125,0.38449186086654663,,sports ball,detected
238,frame_0238.jpg,224.77243041992188,1060.5791015625,267.7671203613281,1111.7626953125,0.4136386215686798,,sports ball,detected
239,frame_0239.jpg,224.7535400390625,1060.576416015625,267.77301025390625,1111.796630859375,0.41437214612960815,,sports ball,detected
